condition,accuracy,auc,precision,recall,f1,n_samples
clean,0.95825,0.9925036500000001,0.9573809761453239,0.9592,0.9582896248563865,20000
blur_0.5,0.9275,0.9890000000000001,0.9830508474576272,0.87,0.9230769230769231,400
blur_1.0,0.865,0.9667,0.9506172839506173,0.77,0.850828729281768,400
blur_2.0,0.8525,0.94655,0.9325153374233128,0.76,0.837465564738292,400
center_crop,0.7975,0.9611000000000001,0.983739837398374,0.605,0.7492260061919505,400
color_jitter,0.95,0.985025,0.9455445544554455,0.955,0.9502487562189055,400
jpeg_30,0.895,0.97555,0.9540229885057471,0.83,0.8877005347593583,400
jpeg_50,0.93,0.981325,0.9479166666666666,0.91,0.9285714285714286,400
jpeg_70,0.95,0.98885,0.9591836734693877,0.94,0.9494949494949495,400
jpeg_90,0.9575,0.98875,0.9552238805970149,0.96,0.9576059850374065,400
noise_0.02,0.945,0.9895750000000001,0.9540816326530612,0.935,0.9444444444444444,400
noise_0.05,0.84,0.980275,0.9857142857142858,0.69,0.8117647058823529,400
noise_0.10,0.8275,0.9492999999999999,0.9645390070921985,0.68,0.7976539589442815,400
resize_0.25,0.765,0.9211,0.9344262295081968,0.57,0.7080745341614907,400
resize_0.5,0.8675,0.96065,0.9349112426035503,0.79,0.8563685636856369,400
